"GEOID","pop_female","pop_male","pop_asian","pop_black","pop_hispanic","pop_native","pop_other","pop_white","pop_65_74","pop_75_84","pop_85_pl","pop25_w_bach","tot_pop25","pct_w_bach","median_hh_inc","hh_below_pl","tot_hh","pct_hh_below_pl"
"370630018023",156,76,5,172,9,0,1,45,146,75,11,318,1559,0.203976908274535,45417,66,712,0.0926966292134832
"370630018024",58,45,2,64,11,0,0,26,66,29,8,16,499,0.032064128256513,52207,16,223,0.0717488789237668
"370630018061",98,71,8,76,15,0,7,63,124,36,9,890,1583,0.562223626026532,81548,19,888,0.0213963963963964
"370630018062",117,110,1,10,3,0,4,209,144,58,25,69,534,0.129213483146067,45441,48,256,0.1875
"370630018063",58,57,1,36,7,0,3,68,51,45,19,237,703,0.337126600284495,69444,15,406,0.0369458128078818
"370630018064",81,54,0,56,9,3,6,61,76,45,14,383,1044,0.366858237547893,58703,0,617,0
"370630018065",97,75,0,11,3,0,2,156,96,62,14,89,1163,0.0765262252794497,43781,54,504,0.107142857142857
"370630018081",181,157,13,125,17,4,7,172,198,104,36,518,1541,0.336145360155743,83143,15,768,0.01953125
"370630018082",170,129,21,75,15,1,7,180,212,67,20,1587,2407,0.659326963024512,109196,49,1412,0.0347025495750708
"370630018083",89,79,9,44,6,0,3,106,110,53,5,865,1332,0.649399399399399,109531,0,626,0
"370630018084",176,140,21,92,2,4,10,187,248,56,12,1735,2593,0.669109139992287,124000,0,1400,0
"370630018091",127,112,20,32,4,1,5,177,172,56,11,496,694,0.714697406340058,81250,0,503,0
"370630018092",61,61,5,40,7,0,5,65,72,40,10,675,1294,0.521638330757342,52386,118,1125,0.104888888888889
"370630018093",64,50,5,28,6,2,2,71,70,29,15,99,494,0.200404858299595,NA,69,299,0.230769230769231
"370630018094",68,30,2,18,5,0,5,68,52,27,19,83,313,0.26517571884984,47803,0,196,0
"370630018095",46,14,2,34,4,0,2,18,40,14,6,464,1553,0.298776561493883,60507,60,1016,0.0590551181102362
"370630018101",62,48,1,30,13,0,2,64,65,31,14,138,1171,0.117847993168232,34189,114,608,0.1875
"370630018102",48,38,4,43,13,2,2,22,62,14,10,195,619,0.315024232633279,44960,6,211,0.028436018957346
"370630018103",28,22,0,42,2,0,0,6,33,16,1,315,840,0.375,54515,0,529,0
"370630018111",81,68,13,70,2,1,1,62,120,19,10,513,848,0.604952830188679,102232,0,482,0
"370630018112",51,36,0,65,4,0,0,18,66,15,6,131,703,0.186344238975818,84625,21,350,0.06
"370630018113",70,30,3,62,4,0,0,31,68,30,2,210,523,0.401529636711281,72891,14,327,0.0428134556574924
"370630018114",57,47,2,66,3,0,0,33,75,18,11,234,479,0.488517745302714,110324,0,273,0
"370630018115",117,70,0,112,0,1,4,70,135,38,14,321,878,0.365603644646925,95833,0,416,0
"370630018116",67,50,0,82,9,0,1,25,86,27,4,284,968,0.293388429752066,94549,50,423,0.118203309692671
"370630019001",129,113,23,31,7,0,19,162,137,82,23,883,1603,0.550842170929507,87987,37,950,0.0389473684210526
"370630019002",131,87,1,16,5,0,1,195,138,71,9,192,510,0.376470588235294,105703,0,283,0
"370630019003",975,744,97,63,25,0,18,1516,1090,570,59,1067,1725,0.618550724637681,100341,12,971,0.0123583934088568
"370630019004",116,122,10,10,5,0,3,210,170,53,15,211,446,0.473094170403587,68077,41,250,0.164
"370630020071",86,43,9,40,0,0,0,80,86,33,10,594,708,0.838983050847458,60924,108,469,0.230277185501066
"370630020072",128,97,6,132,3,0,1,83,149,59,17,441,544,0.810661764705882,70833,0,352,0
"370630020073",69,59,0,33,2,0,5,88,78,40,10,305,374,0.815508021390374,NA,17,224,0.0758928571428571
"370630020074",207,115,5,79,4,2,2,230,202,86,34,715,1140,0.62719298245614,74549,25,658,0.0379939209726444
"370630020075",155,105,3,91,1,0,4,161,162,84,14,659,1023,0.644183773216031,34392,171,727,0.235213204951857
"370630020081",138,130,6,1,7,0,0,254,165,90,13,1133,1285,0.881712062256809,250001,0,601,0
"370630020082",87,75,2,17,0,1,0,142,104,42,16,470,588,0.799319727891156,96750,0,322,0
"370630020083",137,131,8,18,4,1,0,237,164,90,14,793,827,0.958887545344619,174432,0,435,0
"370630020091",202,116,5,286,10,0,5,12,212,70,36,224,1320,0.16969696969697,41500,177,740,0.239189189189189
"370630020092",130,124,1,234,8,0,3,8,135,84,35,372,1082,0.343807763401109,28675,167,721,0.231622746185853
"370630020093",220,134,2,323,9,0,6,14,182,116,56,200,1026,0.194931773879142,42806,151,594,0.254208754208754
"370630020131",108,78,6,19,2,0,6,153,123,52,11,383,648,0.591049382716049,70625,24,400,0.06
"370630020132",75,58,7,38,3,0,5,80,97,27,9,312,734,0.425068119891008,87083,10,341,0.0293255131964809
"370630020133",176,126,18,102,5,4,4,169,181,106,15,644,1184,0.543918918918919,101994,35,633,0.0552922590837283
"370630020134",78,71,7,27,4,3,8,100,104,36,9,681,903,0.754152823920266,110682,39,536,0.0727611940298507
"370630020151",60,68,3,66,16,3,0,40,86,31,11,93,1168,0.0796232876712329,34963,182,834,0.218225419664269
"370630020152",278,164,13,7,3,1,6,412,62,152,228,457,576,0.793402777777778,69006,41,385,0.106493506493506
"370630020153",79,59,0,42,7,2,1,86,80,45,13,515,823,0.625759416767922,47526,16,711,0.0225035161744023
"370630020154",58,32,0,11,6,0,1,72,70,11,9,401,606,0.661716171617162,92875,13,375,0.0346666666666667
"370630020191",79,54,11,35,7,0,5,75,94,32,7,1027,1335,0.769288389513109,58633,65,943,0.0689289501590668
"370630020192",179,130,17,6,8,2,5,271,207,78,24,1028,1238,0.830371567043619,50966,174,885,0.196610169491525
"370630020193",360,219,14,33,10,3,6,513,327,160,92,858,1213,0.707337180544106,112992,86,705,0.121985815602837
"370630020201",135,120,36,54,5,1,11,148,169,69,17,1484,1794,0.827201783723523,132813,0,862,0
"370630020202",105,98,29,56,7,1,6,104,141,52,10,682,992,0.6875,104954,0,603,0
"370630020203",92,92,15,50,5,0,5,109,125,52,7,1105,1242,0.889694041867955,163420,20,613,0.032626427406199
"370630020204",218,196,58,64,11,0,19,262,288,102,24,1887,2323,0.812311665949204,164688,0,1095,0
"370630020211",169,117,17,80,10,1,6,172,159,96,31,864,1374,0.62882096069869,94929,57,782,0.0728900255754476
"370630020212",55,26,3,34,2,0,2,40,57,16,8,447,838,0.533412887828162,41625,163,638,0.255485893416928
"370630020213",91,83,16,25,7,0,2,124,118,43,13,946,1004,0.942231075697211,115718,41,641,0.0639625585023401
"370630020221",113,55,3,99,3,0,1,62,95,53,20,488,909,0.536853685368537,51569,42,739,0.0568335588633288
"370630020222",173,117,9,77,11,0,11,182,195,68,27,992,1247,0.795509222133119,105091,12,711,0.0168776371308017
"370630020223",129,64,5,45,6,0,2,135,57,66,70,440,941,0.467587672688629,53513,102,751,0.135818908122503
"370630020231",81,70,6,21,3,0,3,118,110,37,4,657,929,0.707212055974166,84669,0,583,0
"370630020232",85,70,8,29,6,0,3,109,110,41,4,432,652,0.662576687116564,80250,0,350,0
"370630020233",76,88,2,88,3,0,3,68,77,54,33,379,745,0.508724832214765,75167,34,378,0.0899470899470899
"370630020241",116,47,14,20,2,1,2,124,116,44,3,716,935,0.765775401069519,94150,29,629,0.0461049284578696
"370630020242",86,62,14,23,12,0,7,92,95,39,14,1240,1382,0.897250361794501,135265,47,651,0.0721966205837174
